lambda,sigma,s1,s2,s3,sparsity_HF_block1,sparsity_HF_block2,sparsity_HF_block3,Adequacy_data_HF,meanVarCommuHFBlock1,meanVarCommuHFBlock2,meanVarCommuHFBlock3,sparsity_LF_block1,sparsity_LF_block2,sparsity_LF_block3,Adequacy_data_LF,meanVarCommuLFBlock1,meanVarCommuLFBlock2,meanVarCommuLFBlock3
0,0.3,4,2.9,1.4,1,0,12,0.1483086672641277,0.00974932846992696,0.015075663260880234,0.0488888888888889,1,0,12,0.1483086672641277,0.00974932846992696,0.015075663260880234,0.0488888888888889
0.5,0.3,4,2.9,1.4,1,0,12,0.1482959014624201,0.009750669960701364,0.015086471318781006,0.04888888888888889,1,0,12,0.1483086672641277,0.00974932846992696,0.015075663260880234,0.0488888888888889
0.9,0.3,4,2.9,1.4,1,0,12,0.14819392834581085,0.009761342378366596,0.015173088413483736,0.0488888888888889,1,0,12,0.14830866726412764,0.009749328469926951,0.015075663260880208,0.04888888888888889
0.9998,0.3,4,2.9,1.4,0,0,12,0.1653333879398602,0.029168587052178407,0.11537367830171279,0.04987205765327267,1,0,12,0.14830866726412767,0.009749328469926963,0.015075663260880199,0.04888888888888889
0,0.5,4,2.9,1.4,1,0,12,0.1483086672641277,0.00974932846992696,0.015075663260880234,0.0488888888888889,1,0,12,0.1483086672641277,0.00974932846992696,0.015075663260880234,0.0488888888888889
0.5,0.5,4,2.9,1.4,1,0,12,0.1482959014624201,0.009750669960701364,0.015086471318781006,0.04888888888888889,1,0,12,0.1483086672641277,0.00974932846992696,0.015075663260880234,0.0488888888888889
0.9,0.5,4,2.9,1.4,1,0,12,0.14819392834581085,0.009761342378366596,0.015173088413483736,0.0488888888888889,1,0,12,0.14830866726412764,0.009749328469926951,0.015075663260880208,0.04888888888888889
0.9998,0.5,4,2.9,1.4,0,0,12,0.1653333879398602,0.029168587052178407,0.11537367830171279,0.04987205765327267,1,0,12,0.14830866726412767,0.009749328469926963,0.015075663260880199,0.04888888888888889
0,0.9,4,2.9,1.4,1,0,12,0.1483086672641277,0.00974932846992696,0.015075663260880234,0.0488888888888889,1,0,12,0.1483086672641277,0.00974932846992696,0.015075663260880234,0.0488888888888889
0.5,0.9,4,2.9,1.4,1,0,12,0.1482959014624201,0.009750669960701364,0.015086471318781006,0.04888888888888889,1,0,12,0.1483086672641277,0.00974932846992696,0.015075663260880234,0.0488888888888889
0.9,0.9,4,2.9,1.4,1,0,12,0.14819392834581085,0.009761342378366596,0.015173088413483736,0.0488888888888889,1,0,12,0.14830866726412764,0.009749328469926951,0.015075663260880208,0.04888888888888889
0.9998,0.9,4,2.9,1.4,0,0,12,0.1653333879398602,0.029168587052178407,0.11537367830171279,0.04987205765327267,1,0,12,0.14830866726412767,0.009749328469926963,0.015075663260880199,0.04888888888888889
0,0.3,2.23606797749979,2.9,1.4,14,0,12,0.14655555501172593,0.04187769918450986,0.014792224528681484,0.0488888888888889,14,0,12,0.14655555501172593,0.04187769918450986,0.014792224528681484,0.0488888888888889
0.5,0.3,2.23606797749979,2.9,1.4,14,0,12,0.1465462133692363,0.04187667160673189,0.014807828347166947,0.04888888888888887,14,0,12,0.14655555501172593,0.04187769918450986,0.014792224528681484,0.0488888888888889
0.9,0.3,2.23606797749979,2.9,1.4,14,0,12,0.14647188010399337,0.0418684453713516,0.014932872487216706,0.0488888888888889,14,0,12,0.14655555501172596,0.04187769918450987,0.014792224528681445,0.048888888888888885
0.9998,0.3,2.23606797749979,2.9,1.4,12,0,11,0.16879795202833664,0.04508415299750679,0.1478566098330464,0.050732760250443563,14,0,12,0.14655555501172593,0.04187769918450987,0.014792224528681449,0.04888888888888889
